Município,Código,Demonym ,Prefeito [2017],Area - km^2 [2019],Population Estimate -  [2020],Densidade – hab/km^2 [2010],Schooling (6 to 14 years old) - % [2010],MHDI (Municipal human development index) [2010],Mortalidade Infantil - deaths per 1000 live births [2013],Realized revenue - R$ (*1000) [2017],Committed expenditure - R$ (*1000) [2017],GDP Per Capita - R$ (*1000) [2017]
Claraval,3116407,claravalense,LUIZ GONZAGA CINTRA,227.627,4853,19.95,96.7,0.698,71.43,17994.73552,14630.68494,25299.01
Claro dos Poções,3116506,claro-pocense,NORBERTO MARCELINO DE OLIVEIRA NETO,720.424,7514,10.79,97,0.67,25.97,18047.08389,16997.09545,8005.11
Cláudio,3116605,claudiense,JOSÉ RODRIGUES BARROSO DE ARAÚJO,630.706,28859,40.86,96.9,0.709,13.62,63863.86779,57678.23899,23207.76
Coimbra,3116704,coimbraense,MARIA RAIMUNDA DOS SANTOS MARTINS,106.875,7594,66,97.9,0.669,13.33,21611.60416,17551.56939,14280.19
Coluna,3116803,colunense,SADY RIBEIRO DAMAS,348.492,8841,25.89,94.5,0.583,18.18,17997.63111,16488.1191,9336.78
Comendador Gomes,3116902,comendadorense,JERONIMO SANTANA NETO,1041.047,3120,2.85,96.9,0.697,50,21052.22306,18844.3748,35481.55
Comercinho,3117009,comerciense,GILMAR ORNELAS DO AMARAL,654.961,6774,12.67,99.1,0.593,15.87,18156.56945,16856.83108,7101.52
Conceição da Aparecida,3117108,aparecidense,RUBERVAL JOSÉ GONÇALVES,352.521,10322,27.86,98.8,0.691,9.52,27564.65176,24567.22165,19604.72
Conceição das Pedras,3117207,pedrense,JOSÉ AIRTON PEREIRA,102.206,2813,26.9,96.1,0.668,38.46,12941.87242,11187.59516,13028.31
Conceição das Alagoas,3117306,garimpense,CELSON PIRES DE OLIVEIRA,1340.25,28346,17.19,95.6,0.712,8.38,96642.71015,86671.72228,31472.94
Conceição de Ipanema,3117405,ipanemense,GROSMANE HERMSDORFF,253.935,4578,17.55,98.5,0.676,33.33,15264.48078,13612.33132,10727.92
Conceição do Mato Dentro,3117504,conceicionense,JOSÉ FERNANDO APARECIDO DE OLIVEIRA,1720.106,17503,10.37,97.9,0.634,3.36,101397.89637,85276.96717,44742.28
Conceição do Pará,3117603,conceição-paraense,PROCOPIO CELSO DE FREITAS,250.306,5533,20.6,98.2,0.7,14.93,24036.3985,26495.46709,48711.31
Conceição do Rio Verde,3117702,conceicionense,PEDRO PAULO,369.681,13684,35.03,95.2,0.665,6.17,28046.56402,25623.80074,15138.08
Conceição dos Ouros,3117801,ourense,MAURICIO EUCLIDES VIANA,180.236,11748,56.77,97.9,0.703,32.52,25176.84814,22516.53066,16265.11
Cônego Marinho,3117836,cônego marinhense,AGIDÊ ALVES SANTANA,1610.47,7686,4.32,98.7,0.621,13.33,17348.02371,16483.14234,6670.74
Confins,3117876,confinense,CELSO ANTÔNIO DA SILVA,42.355,6800,140.15,99.3,0.747,21.28,42971.88278,38804.45969,160153
Congonhal,3117900,congonhalense,RUBENS VILELA DOS SANTOS JUNIOR,205.125,12082,51.03,97.7,0.712,15.38,25874.60369,22479.67638,15776.4
Congonhas,3118007,congonhense,JOSÉ DE FREITAS CORDEIRO,304.067,55309,159.57,99.1,0.753,16.88,385952.66905,343925.24364,30573.59
Congonhas do Norte,3118106,norte-congonhense,NELMAR DE MORAES FRANCO,405.671,5046,12.39,93.9,0.568,14.93,14507.81307,11433.65485,7589.04
Conquista,3118205,conquistense,TARCIZIO HENRIQUE ZAGO,618.363,6969,10.55,99.7,0.729,35.09,30327.19353,23613.1815,62876.41
Conselheiro Lafaiete,3118304,lafaietense,MARIO MARCUS LEÃO DUTRA,370.246,129606,314.69,98.7,0.761,15.69,224293.9268,211192.1932,16691.48
Conselheiro Pena,3118403,conselheiro-penense,ELIANA GOMES DE MORAIS ANDRADE,1483.883,22949,14.99,96.2,0.662,7.25,50325.56346,45561.84681,12922.61
Consolação,3118502,consolense,MAURILIO ROBSON MARQUES,89.122,1784,19.99,98.4,0.673,47.62,12101.58362,10346.66134,13513.48
Contagem,3118601,contagense,ALEXIS JOSÉ FERREIRA DE FREITAS,194.746,668949,3090.33,97.4,0.756,9.99,1712721.98018,1632664.76544,44015.99
Coqueiral,3118700,coqueirense,ROSSANO DE OLIVEIRA,296.163,9128,31.36,97.4,0.694,10.87,18242.36837,17654.77379,15771.13
Coração de Jesus,3118809,corjesuense,ROBSON ADALBERTO MOTA DIAS,2225.216,26611,11.7,96.7,0.642,15.33,48484.96793,43315.34375,7398.63
Cordisburgo,3118908,cordisburguense,JOSÉ MAURICIO GOMES,823.654,8897,10.52,94.6,0.656,40,17719.34488,14864.36216,10271.62
Cordislândia,3119005,cordislandense,MARLENE MONTEIRO DE OLIVEIRA PEREIRA,179.543,3542,19.13,95.7,0.66,25.64,13727.10734,10672.48498,16489.33
Corinto,3119104,corintiano,SOCRATES DE LIMA FILHO,2525.397,23668,9.47,97.5,0.68,26.23,47874.60013,42664.76712,12991.54
Coroaci,3119203,coroaciense,EMERSON DE CARVALHO ANDRADE,576.274,9943,17.82,96.9,0.626,16.39,27443.39855,25880.80822,8955.36
Coromandel,3119302,coromandelense,DIONE MARIA PERES,3313.116,27966,8.31,96.4,0.708,12.35,80959.37906,72168.70547,31050.36
Coronel Fabriciano,3119401,fabricianense,MARCOS VINICIUS DA SILVA BIZARRO,221.252,110290,468.67,98.1,0.755,9.8,193767.12136,171355.00272,14942.92
Coronel Murta,3119500,murtense,AMARILES SANTOS LIMA,815.413,9215,11.18,98.7,0.627,29.13,20071.17867,16704.61754,8518.23
Coronel Pacheco,3119609,pachequense,EDELSON SEBASTIAO FERNANDES MEIRELLES,131.511,3090,22.68,99.2,0.669,37.04,13342.21289,11991.79137,13508.7
Coronel Xavier Chaves,3119708,xavierense,FÚVIO OLÍMPIO DE OLIVEIRA PINTO,140.954,3441,23.42,97.1,0.677,25.64,12561.87851,12559.64033,13595.84
Córrego Danta,3119807,córrego-dantense,REGINALDO SATURNINO CARDOSO,657.425,3191,5.16,100,0.692,-,16219.68621,15251.87263,31909.94
Córrego do Bom Jesus,3119906,correguense,ELIANA DE FATIMA ALVES,123.651,3694,30.17,96.8,0.692,34.48,13785.95077,11222.2388,8711.47
Córrego Fundo,3119955,corregofundense,ERICA MARIA LEAO COSTA,101.112,6382,57.26,97.5,0.678,32.26,23331.16085,20495.61024,29091.3
Córrego Novo,3120003,córrego-novense,AILTON LIMA DE PAULA,205.385,2728,15.23,98,0.632,26.32,13283.60311,11800.57359,10743.06
Couto de Magalhães de Minas,3120102,couto-magalhense,JOSE MARCOS ALVES GUIMARÃES,485.654,4423,8.66,98.7,0.659,18.18,16351.79645,14779.66576,9476.58
Crisólita,3120151,crisolitense,ADERLANDE MOREIRA VILELA,966.202,6760,6.26,96,0.585,13.16,16268.74115,16895.31259,8335.31
Cristais,3120201,cristalense,DJALMA FRANCISCO CARVALHO,628.434,12931,17.96,97.3,0.692,8.06,29118.91043,26148.55189,15510.63
Cristália,3120300,cristalense,EDSON SANTOS ALBUQUERQUE,840.702,5982,6.85,95.3,0.583,14.93,17442.85742,15165.84017,7183.23
Cristiano Otoni,3120409,cristianense,JOSÉ ÉLCIO DE REZENDE,132.872,5156,37.68,99.7,0.695,17.54,16479.54336,16002.80035,14755.95
Cristina,3120508,cristinense,RICARDO PEREIRA AZEVEDO,311.33,10226,32.79,97,0.668,10.1,23913.8931,22805.32486,17330.57
Crucilândia,3120607,crucilandense,ILAERSON FERREIRA DE SOUZA,167.164,5054,28.46,98.6,0.651,15.63,18278.45868,15431.33085,10631.3
Cruzeiro da Fortaleza,3120706,cruzeirense,AGNALDO FERREIRA DA SILVA,187.446,3639,20.91,97.1,0.696,17.54,19471.92764,15589.09989,22258.02
Cruzília,3120805,cruzilense,JOAQUIM JOSE PARANAIBA,522.419,15474,27.93,98.7,0.695,13.04,34452.70132,30590.74971,14219.28
Cuparaque,3120839,cuparaquense,MÔNICA TESSAROLO BALBINO,226.75,5005,20.64,96.3,0.627,16.67,16341.45946,17071.37094,10280.42
Curral de Dentro,3120870,curraldentense,SEBASTIÃO ALVES DOS SANTOS,570.95,7799,12.17,96.2,0.585,24.39,18469.38476,17057.17065,7508.16
Curvelo,3120904,curvelano,MAURILIO SOARES GUIMARAES,3296.2,80616,22.5,98.6,0.713,14.71,157527.10936,152470.85863,18534.68
Datas,3121001,datense,GONÇALO VALDIVINO PEREIRA,310.099,5421,16.8,98,0.616,10.99,16424.32894,13771.91173,8708.36
Delfim Moreira,3121100,delfinense,JOSE FERNANDO COURA,408.473,8016,19.51,96.1,0.669,27.03,18392.72896,16742.3339,11595
Delfinópolis,3121209,delfinopolitano,FERNANDO JOSÉ PINTO,1378.423,7131,4.95,99,0.74,16.67,32032.32939,28634.4615,22568.59
Delta,3121258,deltense,MARCOS ROBERTO ESTEVAM,102.784,10768,78.66,94.4,0.639,7.94,32344.57014,26726.96991,34947.1
Descoberto,3121308,descobertense,MARCOS DE ARAUJO LIMA,213.168,5029,22.37,95.1,0.68,18.52,16295.30112,14337.56348,14430.04
Desterro de Entre Rios,3121407,desterrense,ANTONIO PEREIRA DE MORAIS,377.165,7255,18.56,97.1,0.639,32.26,17631.78646,15352.98892,16190.58
Desterro do Melo,3121506,melense,MÁRCIA CRISTINA MACHADO AMARAL,142.279,2884,21.19,100,0.631,35.71,14767.13112,12525.1382,11550.62
Diamantina,3121605,diamantinense,JUSCELINO BRASILIANO ROQUE,3891.659,47825,11.79,97.8,0.716,8.37,113789.45041,98491.66165,15046.26
Diogo de Vasconcelos,3121704,vasconcelense,DOMINGOS ANTUNES DE FREITAS,165.091,3790,23.31,97.6,0.601,22.73,14386.15706,12099.25541,7896.21
Dionísio,3121803,dionisiano,FARIAS MENEZES DE OLIVEIRA,339.375,7609,25.37,99.6,0.702,33.33,17430.72635,17117.14875,9213.2
Divinésia,3121902,divinesiano,ANTONIO GERALDO ALVES,116.97,3424,28.15,96.5,0.657,20.41,15437.49592,13832.36415,12859.75
Divino,3122009,divinense,GILVAN PINHEIRO DE FARIA,337.776,19976,56.64,93.8,0.605,10.75,41602.80106,37898.77282,11209.85
Divino das Laranjeiras,3122108,divinense,ROMILSON ALVES,342.249,4974,14.43,99.7,0.661,19.23,15352.45087,14022.94395,9332.66
Divinolândia de Minas,3122207,divinolandense,RODRIGO MAGALHAES COELHO,133.12,7614,52.76,97.8,0.623,53.76,18749.36384,16385.41841,7723.44
Divinópolis,3122306,divinopolitano,GALILEU TEIXEIRA MACHADO,708.115,240408,300.82,98.6,0.764,6.28,621772.36962,552135.70463,25695.97
Divisa Alegre,3122355,divisalegrense,MARCELO OLEGARIO SOARES,117.802,6868,49.95,98.5,0.608,31.58,19122.51044,17237.10051,18690.05
Divisa Nova,3122405,divisa-novense,ELIAS TASSOTI,216.955,6025,26.56,97.3,0.67,25,16988.32172,14330.70771,15270.46
Divisópolis,3122454,divisopolense,EUVALDO GOBIRA ALVES,572.926,11211,15.66,98.8,0.609,27.78,21966.08158,19194.30069,6533.11
Dom Bosco,3122470,dom bosquense,IRAMAIA MARIA CORDEIRO DE ALMEIDA,817.383,3655,4.67,99.2,0.673,22.22,13714.26245,10674.12525,13225.77
Dom Cavati,3122504,dom-cavatiano,JOSÉ SANTANA JUNIOR,59.52,5048,87.52,99.4,0.688,15.87,15689.98044,13634.8329,10389.51
Dom Joaquim,3122603,dom-joaquinense,GERALDO ADILSON GONCALVES,398.726,4451,11.37,98.9,0.622,27.4,17403.67552,13249.47758,9374.93
Dom Silvério,3122702,dom-silveriense,JOAO BOSCO COELHO,194.972,5232,26.65,97.6,0.709,20.83,16055.20184,14835.11899,15462.16
Dom Viçoso,3122801,dom-viçosense,FRANCISCO ROSINEI PINTO,113.921,2997,26.28,98,0.687,34.48,12722.40568,11142.3607,9902.17
Dona Euzébia,3122900,donaeuzebense ou donaeuzebiense,MANOEL FRANKLIN RODRIGUES,70.231,6619,85.45,98.7,0.701,30.3,17428.07278,13749.03021,13024.11
Dores de Campos,3123007,dorense,MARCILIO TADEU TEIXEIRA COTTA,124.842,10223,74.49,99.2,0.686,20.62,21174.31881,18281.87592,26863.26
Dores de Guanhães,3123106,dorense,JOÃO EBER BARRETO NOMAN,382.124,5154,13.67,97.9,0.636,23.81,19195.15303,15897.66519,20758.2
Dores do Indaiá,3123205,dorense,RONALDO ANTONIO ZICA DA COSTA,1111.202,13427,12.4,97.2,0.719,16.81,37044.97284,34309.48285,15236.95
Dores do Turvo,3123304,dorense,VALDIR RIBEIRO DE BARROS,231.169,4230,19.3,97.8,0.629,23.81,14988.38538,12876.38768,10279.4
Doresópolis,3123403,doresopolitano,ELITON LUIZ MOREIRA,152.912,1533,9.42,96.5,0.692,71.43,13427.19857,10994.08905,40148.77
Douradoquara,3123502,douradoquarense,MARCOS ALEM DE OLIVEIRA,312.878,1912,5.88,98.6,0.706,111.11,14297.3382,12364.28495,25765.22
Durandé,3123528,durandeense,JOSE ELIAS RODRIGUES PEREIRA,217.461,7870,34.13,95.1,0.645,45.87,18300.67085,17642.78917,10908.03
Elói Mendes,3123601,elói-mendense,PAULO ROBERTO BELATO CARVALHO,499.537,28320,50.49,97.3,0.685,23.46,59101.07768,52587.16385,21398.13
Engenheiro Caldas,3123700,engenheiro-caldense,SAMUEL DUTRA JUNIOR,187.058,11202,54.96,97.4,0.644,33.33,28971.23456,25859.85705,9738.1
Engenheiro Navarro,3123809,navarrense,JOÃO GERALDO DIAS,608.306,7241,11.71,98.6,0.655,12.5,17785.66933,16496.39277,9565.06
Entre Folhas,3123858,entrefolhense,AILTON SILVEIRA DIAS,85.39,5377,60.73,97.8,0.634,13.16,14373.93055,746.61437,9175.49
Entre Rios de Minas,3123908,entrerrianos,JOSE WALTER RESENDE AGUIAR,456.796,15380,31.18,99.6,0.672,23.53,28688.77511,25698.77537,11813.83
Ervália,3124005,ervalense,ELOÍSIO ANTONIO DE CASTRO,357.489,18958,50.2,93.6,0.625,4.5,40887.94944,39523.01796,14565.84
Esmeraldas,3124104,esmeraldense,MARCIO ANTONIO BELEM,909.751,71551,66.2,97.3,0.671,13.2,114837.89048,106775.17115,9796.15
Espera Feliz,3124203,espera-felizense,JOÃO CARLOS CABRAL DE ALMEIDA,317.638,25122,71.96,96.9,0.663,9.38,55791.92248,51072.18215,15947.82
Espinosa,3124302,espinosense,MILTON BARBOSA LIMA,1868.97,31610,16.65,95.7,0.627,8.06,56764.83879,54960.6885,8512.66
Espírito Santo do Dourado,3124401,douradense,ADALTO LUIS LEAL,263.879,4710,16.78,99.1,0.685,38.96,15637.95567,13497.83243,15208.99
Estiva,3124500,estivense,AGENÍCIO DE OLIVEIRA,243.872,11386,44.47,95.6,0.691,19.42,26560.43907,20055.09088,21040.43
Estrela Dalva,3124609,estrela-dalvense,MARIA DE FATIMA GUERRA CABRAL,131.365,2325,18.8,98.1,0.71,105.26,12675.46271,10971.77966,12943.63
Estrela do Indaiá,3124708,estrelense,HUGO GERALDO LOPES,635.981,3491,5.53,97.3,0.676,33.33,14345.92845,12043.53304,26595.85
Estrela do Sul,3124807,estrela-sulense,DAYSE MARIA SILVA GALANTE,822.454,8018,9.05,96.7,0.696,28.57,21885.21291,19334.66786,47064.41
Eugenópolis,3124906,eugenopolense,VASCO NAVARRO RODRIGUES CALDAS,309.395,11330,34.07,97.6,0.675,9.26,24249.99551,21868.98789,13628.56
Ewbank da Câmara,3125002,ewbanquense,JOSÉ MARIA NOVATO,103.834,3923,36.14,96.9,0.676,18.87,14062.05239,11809.78245,10083.98
Extrema,3125101,extremense,JOÃO BATISTA DA SILVA,244.575,36951,116.93,97.5,0.732,7.36,242732.01716,178565.82941,219239.07
Fama,3125200,famense,OSMAIR LEAL DOS REIS,86.024,2376,27.32,99,0.717,43.48,13028.03202,10505.13132,16841.75
Faria Lemos,3125309,faria-lemense,SUELI CUNHA TERRA,165.224,3221,20.43,98,0.687,22.22,13288.25965,11039.00533,15856.58
Felício dos Santos,3125408,feliz-santense,RICARDO JOSE ROCHA,357.622,4704,14.38,97.7,0.606,12.35,17082.39873,16230.06515,8473.94
São Gonçalo do Rio Preto,3125507,são-gonçalense,JOAO LEOPOLDO DUMONT,314.458,3173,9.72,98.5,0.64,34.48,15073.09636,12516.43327,10107.9
Felisburgo,3125606,felisburguense,JANIO WILTON MURTA PINTO COELHO,596.215,7504,11.53,96,0.583,10.64,17622.38645,16257.84884,7781.74
Felixlândia,3125705,felixlandense,VANDERLI DE CARVALHO BARBOSA,1554.627,15433,9.08,98,0.648,19.74,41911.88591,36708.10617,13721.36
Fernandes Tourinho,3125804,fernandes-tourinhense,VICENTE DE PAULA GERMANO,151.875,3466,19.95,99.6,0.646,31.25,13464.78764,12254.26777,11613.76
Ferros,3125903,ferrense,RAIMUNDO MENEZES DE CARVALHO FILHO,1088.791,9696,9.95,97.9,0.603,11.11,29876.15014,24355.9718,10606.62
Fervedouro,3125952,fervedourense,ABILIO PEIXOTO FRANCHINI,357.683,11054,28.93,96.1,0.58,7.52,24516.08426,22142.22616,9402.65
Florestal,3126000,florestalense,OTONI ALVES DE OLIVEIRA MELO,194.242,7533,34.48,98.8,0.724,14.29,21364.81274,19999.06729,14988.34
Formiga,3126109,formiguense,EUGÊNIO VILELA JÚNIOR,1501.915,67822,43.36,97.4,0.755,15.11,172461.38495,146627.7262,23677.51
Formoso,3126208,formosense,LUIZ CARLOS DA SILVA,3686.004,9688,2.22,96.4,0.64,22.73,23551.37386,21472.13003,16656.68
Fortaleza de Minas,3126307,fortalezense,ADENILSON QUEIROZ,218.792,4437,18.73,86.8,0.67,30.3,20071.93981,16912.2141,15256.92
Fortuna de Minas,3126406,fortunense,PATRICK CAMPOS DINIZ,198.709,2967,13.61,98.6,0.696,28.57,14949.82445,13787.79333,12360.56
Francisco Badaró,3126505,badarosense,ADELINO PINHEIRO DE SOUSA,461.481,10321,22.21,98.5,0.622,19.23,19439.59942,18311.2745,6245.74
Francisco Dumont,3126604,francisco-dumonsense,EDUARDO RABELO FONSECA,1576.128,5242,3.09,96.3,0.625,20.41,16213.35019,15202.63217,11298.5
Francisco Sá,3126703,francisco-saense,MARIO OSVALDO RODRIGUES CASASANTA,2747.295,26369,9.07,98.8,0.654,16.88,54128.23806,43836.14147,11452.3
Franciscópolis,3126752,franciscopolitano,EDUIR CAMARGOS ALMEIDA,717.087,5338,8.09,97.9,0.603,18.18,16991.69952,16202.64321,12567.39
Frei Gaspar,3126802,frei-gasparense,LAURO ALVES FRANCO,626.672,5869,9.38,96.8,0.59,28.99,17122.9319,15537.75747,8766.47
Frei Inocêncio,3126901,frei-inocenciano,JOSÉ GERALDO DE MATTOS BICALHO,469.557,9664,19,98.3,0.648,17.09,20474.81601,17799.39751,9698.61
Frei Lagonegro,3126950,frei lagonegrense,LEANDRO GONÇALVES FERNANDES,167.474,3487,19.88,96.6,0.543,20.83,14305.66477,12629.23593,9561.76
Fronteira,3127008,fronteirense,MARCELO MENDES PASSUELO,199.987,18492,70.21,96.3,0.684,20.13,54254.84026,49856.82543,61932.58
Fronteira dos Vales,3127057,fronteirista-dos-vales,LEONARDO MEDEIROS DA SILVA,320.757,4561,14.61,97,0.592,31.25,14624.98044,13772.56878,7556.64
Fruta de Leite,3127073,fruta de leitense,MARCLENIO FERRAZ DA ROCHA,762.837,5299,7.79,94.7,0.544,18.87,15049.64157,12706.4134,6904.32
Frutal,3127107,frutalense,MARIA CECILIA MARCHI BORGES,2426.965,60012,22.03,97.6,0.73,11.11,154682.22782,136456.63637,31348.02
Funilândia,3127206,funilandense,EDSON VARGAS DIAS,199.797,4392,19.29,97.4,0.655,44.44,19099.15795,15815.66883,12081.57
Galiléia,3127305,galileense,JUAREZ DA SILVA LIMA,720.355,6790,9.65,95.8,0.654,24.1,18188.63475,16552.20588,11801.87
Gameleiras,3127339,gameleirense,GILMAR RODRIGUES DE OLIVEIRA,1733.203,5096,2.97,98.9,0.65,16.95,15837.42637,13361.75145,7443.71
Glaucilândia,3127354,glaucilandense,GERALDO MARTINS DE FREITAS,145.861,3164,20.31,99.8,0.679,83.33,12491.26251,10863.68996,8635.06
Goiabeira,3127370,goiabeirense,HELCIO NOGUEIRA,112.443,3378,27.15,96.8,0.647,19.61,14809.2313,13232.45202,11030.4
Goianá,3127388,goianaense,ESTEVAM DE ASSIS BARREIROS,152.039,3990,24.07,99.4,0.716,33.33,14356.20267,13260.3857,14685.37
Gonçalves,3127404,gonçalvense,LUIZ ROSA DA SILVA,187.353,4355,22.52,98.9,0.683,30.3,15610.55313,12888.153,13463.97
Gonzaga,3127503,gonzaguense,JÚLIO MARIA DE SOUSA,209.348,6171,28.28,98.9,0.606,40,17739.23046,16392.63428,7751.33
Gouveia,3127602,gouveano,ANTONIO VICENTE DE SOUZA,866.601,11818,13.48,98.5,0.681,20.27,24551.8285,22930.22846,10708.92
Governador Valadares,3127701,valadarense,ANDRE LUIZ COELHO MERLO,2342.325,281046,112.58,97.2,0.727,11.91,813569.06417,774637.51839,20957.24
Grão Mogol,3127800,grão-mogolense,HAMILTON GONCALVES NASCIMENTO,3885.294,15890,3.87,96.7,0.604,13.25,42436.14697,37561.25336,17932.81
Grupiara,3127909,grupiarense,RONALDO JOSE MACHADO,193.141,1387,7.11,100,0.731,76.92,15313.90596,14072.72699,19260.85
Guanhães,3128006,guanhanense,DORIS CAMPOS COELHO,1075.124,34573,29.08,98.5,0.686,6.4,88638.37946,75481.8398,18134.31
Guapé,3128105,guapense,NELSON ALVES LARA,934.345,14258,14.85,98,0.679,45.11,38517.05725,33999.87876,16797.6
Guaraciaba,3128204,guaraciabense,GUSTAVO CASTRO DE ANDRADE,348.596,10315,29.33,97.3,0.623,11.9,24044.22191,22413.87727,8156.44
Guaraciama,3128253,guaraciamense,RAFAEL DIAS VELOSO,390.263,4989,12.09,95.8,0.677,40,15129.24645,12591.1515,7816.9
Guaranésia,3128303,guaranesiano,LAÉRCIO CINTRA NOGUEIRA,294.828,19017,63.47,97.6,0.701,26.2,44030.3924,42490.30266,22293.09
Guarani,3128402,guaraniense,PAULO CESAR SANTOS NEVES,264.194,8918,32.85,97.6,0.677,11.24,24472.53941,22902.76285,13274.98
Guarará,3128501,guararense,JOSE MAURICIO DE SALES,88.655,3775,44.32,99.3,0.652,46.51,15788.22594,12814.97571,11810
Guarda-Mor,3128600,guarda-morense,EDGAR JOSÉ DE LIMA,2069.795,6569,3.17,97.8,0.69,10.1,39457.48656,30982.56401,50502.25
Guaxupé,3128709,guaxupeano,JARBAS CORREA FILHO,286.398,52078,172.59,96.7,0.751,22.19,126406.74884,116476.39847,36602.28
Guidoval,3128808,guidovalense,SORAIA VIEIRA DE QUEIROZ,158.375,7051,45.5,97.9,0.683,12.66,19104.75421,17408.99708,13817.39
Guimarânia,3128907,guimaranense,ADILIO ALEX DOS REIS,366.833,8105,19.8,97.7,0.693,21.28,22406.21592,20720.06091,18064.82
Guiricema,3129004,guiricemense,ARI LUCAS DE PAULA SANTOS,293.578,8343,29.66,99.5,0.674,37.74,18312.76663,16839.7728,10703.83
Gurinhatã,3129103,gurinhantense,WENDER LUCIANO DE ARAUJO SILVA,1849.137,5577,3.32,97.1,0.68,25.64,30184.96552,18914.1248,21865.89
Heliodora,3129202,heliodorense,ALEX LEOPOLDINO DE LIMA,153.95,6591,39.76,97,0.657,16.95,20195.70389,14964.34256,13935.22
Iapu,3129301,iapuense,JOSÉ CARLOS DE BARROS,340.994,11045,30.29,97,0.654,8.2,25481.09631,21554.20931,9166.94
Ibertioga,3129400,ibertiogano,JOSÉ FRANCISCO RODRIGUES  DE ALMEIDA,346.24,5010,14.54,99,0.657,15.15,15681.54736,13722.05842,12659.93
Ibiá,3129509,ibiaense,MARLENE APARECIDA DE SOUZA SILVA,2704.132,25358,8.59,97.9,0.718,6.94,71937.42681,59989.82534,36664.73
Ibiaí,3129608,ibiaiense,LARRAVARDIERIE BATISTA CORDEIRO,874.76,8437,8.96,97,0.614,11.36,19584.07839,18318.01865,7855.22
Ibiracatu,3129657,ibiracatuense,ARLIS SOARES COUTINHO,353.257,5369,17.42,98,0.591,24.1,16703.40977,17022.06098,6870.88
Ibiraci,3129707,ibiraciense,ANTÔNIO LINDENBERG GARCIA,562.095,13986,21.66,93.4,0.706,7.81,43972.2153,35499.14321,46005.98
Ibirité,3129806,ibiritenense,WILLIAM PARREIRA DUARTE,72.395,182153,2190.26,97.5,0.704,8.61,351055.16339,287441.68674,12227.37
Ibitiúra de Minas,3129905,ibitiurense,JOSE TARCISO RAYMUNDO,68.316,3492,49.51,92.4,0.674,34.48,13427.25623,11769.34322,13873.33
Ibituruna,3130002,ibiturunense,HEITOR CAMILO DOS SANTOS,153.106,2996,18.72,98.7,0.675,71.43,13390.60433,10653.8142,12086.98
Icaraí de Minas,3130051,icaraiense,JAMES VELOSO ALMEIDA,625.664,12097,17.18,95.4,0.624,8.93,21709.66895,19625.63606,6430.64
Igarapé,3130101,igarapeense,CARLOS ALBERTO DA SILVA,110.942,43817,316.07,96.5,0.698,15.9,88432.7094,82205.80216,15758.76
